key1,key2,key3,value
LINE-227-216,LINE-120-126,LINE-120-126,0.002369448448289006
LINE-330-318,LINE-126-217,LINE-126-217,0
LINE-229-218,LINE-112-113,LINE-112-113,0.055342963225010776
LINE-113-123,LINE-315-333#0,LINE-315-333#0,0
LINE-112-123,LINE-320-323,LINE-320-323,0
LINE-220-223,LINE-314-316,LINE-314-316,0
LINE-220-223#0,LINE-125-113,LINE-125-113,-0.009244995307241098
LINE-311-331,LINE-227-216,LINE-227-216,0
LINE-113-123,LINE-212-223,LINE-212-223,0.005516779402740529
LINE-316-319,LINE-219-220,LINE-219-220,0
LINE-112-123,LINE-112-123,LINE-112-123,0.6708265816647523
LINE-311-331,LINE-127-121#0,LINE-127-121#0,0
LINE-319-320#0,LINE-215-216,LINE-215-216,0
LINE-319-320,LINE-215-221,LINE-215-221,0
LINE-127-121,LINE-126-217,LINE-126-217,0.006356210107010378
LINE-113-215,LINE-120-126,LINE-120-126,0.017812711145372022
LINE-315-324,LINE-115-121#0,LINE-115-121#0,0
LINE-216-219,LINE-218-221,LINE-218-221,0.004008200405088634
LINE-315-316,LINE-220-223,LINE-220-223,0
LINE-125-114,LINE-320-323,LINE-320-323,0
LINE-120-126,LINE-219-220#0,LINE-219-220#0,-0.00211823876881221
LINE-218-221,LINE-128-203,LINE-128-203,0.05283978179469832
LINE-315-324,LINE-125-113,LINE-125-113,0
LINE-225-213,LINE-127-121#0,LINE-127-121#0,-2.676133942191068e-5
LINE-316-319,LINE-229-218,LINE-229-218,0
LINE-315-316,LINE-226-209,LINE-226-209,0
LINE-113-215,LINE-312-329,LINE-312-329,0
LINE-107-108,LINE-112-113,LINE-112-113,-0.07204497978786477
LINE-311-331,LINE-128-203,LINE-128-203,0
LINE-112-123,LINE-216-219,LINE-216-219,-0.02127032413204156
LINE-314-316,LINE-127-121#0,LINE-127-121#0,0
LINE-319-320#0,LINE-119-120,LINE-119-120,0
LINE-112-113,LINE-330-318,LINE-330-318,0
LINE-320-323#0,LINE-315-333#0,LINE-315-333#0,-0.005850620765411012
